Sr.No,Stock,Sector,Shares Held or Principal Amt,Market Value,% of Portfolio,Previous % of Portfolio,Ranked,Change in Shares,% Change,% Ownership,Qtr 1st Owned,Estimated Avg Price Paid,Quarter End Price,Recent Price,Source,Source Date,Date Reported
1656,NEWR,INFORMATION TECHNOLOGY,3157120,211149000,0.01,0.01,1633,"89,812",0.02,0.0472,Q4 2014,63.61,66.88,50.81,13F,2026-10-12,2026-11-23
1657,MRVI,HEALTH CARE,5981894,210981000,0.01,0.01,1634,"71,153",-0.01,0.0455,Q4 2020,36.66,35.27,25.57,13F,2026-10-13,2026-11-24
1658,NARI,HEALTH CARE,2320690,210347000,0.01,0.01,1635,"1,955",,0.0437,Q3 2020,88.14,90.64,73.16,13F,2026-10-14,2026-11-25
1659,MGEE,UTILITIES AND TELECOMMUNICATIONS,2628676,209742000,0.01,0.01,1636,"134,063",-0.04,0.0727,Q4 2009,66.46,79.79,76.7,13F,2026-10-15,2026-11-26
1660,WBT,INDUSTRIALS,8829836,209708000,0.01,0.01,1637,"59,088",,0.0617,Q1 2016,17.3,23.75,23.93,13F,2026-10-16,2026-11-27
1661,EUSB,FINANCE,4511505,209650000,0.01,,1638,"4,505,017",694.36,,Q2 2020,46.47,46.47,44.03,13F,2026-10-17,2026-11-28
1662,DLX,INDUSTRIALS,6919729,209252000,0.01,0.01,1639,"6,928",,0.161,Q2 2009,57.34,30.24,20.85,13F,2026-10-18,2026-11-29
1663,RLJ,REAL ESTATE,14859481,209224000,0.01,0.01,1640,"4,484,145",-0.23,0.0891,Q2 2011,20.38,14.08,11.13,13F,2026-10-19,2026-11-30
1664,JNK,FINANCE,2037168,208810000,0.01,0.01,1641,"1,411,760",-0.4,,Q3 2011,350.95,102.5,91.66,13F,2026-10-20,2026-12-01
1665,SNEX,FINANCE,2811710,208713000,0.01,0,1642,"11,780",,0.1393,Q4 2010,42.37,74.23,79.3,13F,2026-10-21,2026-12-02
1666,SKY,CONSUMER DISCRETIONARY,3802088,208657000,0.01,0.01,1643,"211,296",-0.05,0.0669,Q1 2017,25.62,54.88,54.47,13F,2026-10-22,2026-12-03
1667,OLLI,CONSUMER STAPLES,4842661,208039000,0.01,0.01,1644,"80,115",-0.01,0.0775,Q4 2015,45.41,42.96,66.54,13F,2026-10-23,2026-12-04
1668,HEWJ,FINANCE,5377017,207446000,0.01,0.01,1645,"171,934",-0.03,,Q1 2020,38.32,38.58,37.56,13F,2026-10-24,2026-12-05
1669,SPTN,CONSUMER STAPLES,6267833,206775000,0.01,0,1646,"163,192",-0.02,0.1735,Q4 2009,30.17,32.99,30.98,13F,2026-10-25,2026-12-06
1670,BHLB,FINANCE,7136214,206737000,0.01,0.01,1647,"31,227",,0.1491,Q4 2010,34.66,28.97,24.04,13F,2026-10-26,2026-12-07
1671,GEF,MATERIALS,3175070,206569000,0.01,0,1648,"153,156",0.05,0.1192,Q2 2009,54.53,65.06,62.27,13F,2026-10-27,2026-12-08
1672,NEE+P,UTILITIES AND TELECOMMUNICATIONS,3959255,206475000,0.01,0.01,1649,"266,298",-0.06,,Q2 2020,43.88,52.15,50.44,13F,2026-10-28,2026-12-09
1673,USPH,HEALTH CARE,2076064,206466000,0.01,0.01,1650,"22,653",0.01,0.1598,Q2 2011,79.51,99.45,120.38,13F,2026-10-29,2026-12-10
1674,GTY,REAL ESTATE,7210369,206361000,0.01,0.01,1651,"36,492",,0.1543,Q4 2009,26.98,28.62,26.53,13F,2026-10-30,2026-12-11
1675,KRTX,HEALTH CARE,1626405,206210000,0.01,0.01,1652,"12,212",,0.0544,Q3 2019,80.22,126.79,131.82,13F,2026-10-31,2026-12-12
1676,AYX,INFORMATION TECHNOLOGY,2880854,206068000,0.01,0,1653,"82,502",-0.02,0.0477,Q1 2017,73,71.53,47.39,13F,2026-11-01,2026-12-13
1677,FLGT,HEALTH CARE,3294354,205600000,0.01,0.01,1654,"126,897",-0.03,0.1086,Q1 2017,58.92,62.41,58.31,13F,2026-11-02,2026-12-14
1678,SSP,COMMUNICATIONS,9882690,205463000,0.01,0,1655,"45,562",,0.1397,Q4 2010,21.05,20.79,12.35,13F,2026-11-03,2026-12-15
1679,DVAX,HEALTH CARE,17307732,205269702,0.01,0,1656,"9,513,270",1.22,0.137,-,,,14,13G,2026-11-04,2026-12-16
1680,PAC,TRANSPORTS,1272669,205193000,0.01,0,1657,"6,721",,0.03,Q3 2012,98.88,161.23,136.41,13F,2026-11-05,2026-12-17
1681,GIII,CONSUMER DISCRETIONARY,7583681,205139000,0.01,0.01,1658,"218,715",0.02,0.1573,Q3 2010,25.45,27.05,19.77,13F,2026-11-06,2026-12-18
1682,BKLN,FINANCE,9408366,204820000,0.01,0.01,1659,"6,296,776",-0.4,,Q4 2015,22.19,21.77,20.52,13F,2026-11-07,2026-12-19
1683,MTUM,FINANCE,1215662,204560000,0.01,0.01,1660,"445,786",-0.26,,Q1 2017,136.12,168.27,134.77,13F,2026-11-08,2026-12-20
1684,ATUS,CONSUMER DISCRETIONARY,16302827,203460000,0.01,0.01,1661,"477,565",0.03,0.0884,Q2 2017,22.19,12.48,8.28,13F,2026-11-09,2026-12-21
1685,CHCT,REAL ESTATE,4815968,203282000,0.01,0.01,1662,"57,593",-0.01,0.1921,Q2 2015,34.09,42.21,35.15,13F,2026-11-10,2026-12-22
1686,DIN,CONSUMER DISCRETIONARY,2604239,202999000,0.01,0.01,1663,"61,052",-0.02,0.1555,Q3 2010,58.59,77.95,65.58,13F,2026-11-11,2026-12-23
1687,FALN,FINANCE,7308390,202880000,0.01,0.01,1664,"2,814,050",-0.27,,Q1 2021,29.59,27.76,24.73,13F,2026-11-12,2026-12-24
1688,CSTM,CONSUMER DISCRETIONARY,11266672,202801000,0.01,0.01,1665,"87,851",,0.0805,Q4 2013,16.06,18,12.99,13F,2026-11-13,2026-12-25
1689,DQ,INFORMATION TECHNOLOGY,4885124,201853000,0.01,0.01,1666,"103,314",-0.02,0.0656,Q4 2017,57.1,41.32,70.15,13F,2026-11-14,2026-12-26
1690,SWCH,COMMUNICATIONS,6540709,201585000,0.01,0,1667,"6,348",,0.0435,Q4 2017,17.33,30.82,33.68,13F,2026-11-15,2026-12-27
1691,XOP(CALL),ENERGY,1495500,201220000,0.01,0,1668,"1,115,500",2.93,,Q4 2020,,,113.19,13F,2026-11-16,2026-12-28
1692,SHYG,FINANCE,4573403,201047000,0.01,0.01,1669,"563,346",-0.1,,Q2 2016,45.51,43.96,40.74,13F,2026-11-17,2026-12-29
1693,APAM,COMMUNICATIONS,5092524,200390000,0.01,0.01,1670,"57,485",0.01,0.0756,Q2 2013,34.18,39.35,35.15,13F,2026-11-18,2026-12-30
1694,EPAC,INDUSTRIALS,9149186,200275000,0.01,0,1671,"77,746",,0.1574,Q3 2007,25.76,21.89,18.26,13F,2026-11-19,2026-12-31
1695,KSA,FINANCE,4206638,199647000,0.01,0,1672,"198,939",-0.04,,Q1 2019,31.19,47.46,40.13,13F,2026-11-20,2027-01-01
1696,EVH,INFORMATION TECHNOLOGY,6180992,199644000,0.01,0,1673,"291,029",0.04,0.0675,Q1 2016,18.64,32.3,31.6,13F,2026-11-21,2027-01-02
1697,AXS,FINANCE,3292446,199093000,0.01,0,1674,"24,397",,0.0386,Q3 2007,64.32,60.47,51.96,13F,2026-11-22,2027-01-03
1698,PGRE,REAL ESTATE,18238107,198978000,0.01,0,1675,"1,033,983",-0.05,0.0832,Q4 2014,13.41,10.91,7.01,13F,2026-11-23,2027-01-04
1699,CPA,TRANSPORTS,2377720,198873000,0.01,0.01,1676,"236,452",-0.09,0.0767,Q4 2008,78.32,83.64,62.28,13F,2026-11-24,2027-01-05
1700,NXGN,INFORMATION TECHNOLOGY,9509319,198839000,0.01,0,1677,"421,457",-0.04,0.1417,Q2 2009,15.84,20.91,17.61,13F,2026-11-25,2027-01-06
1701,BILI,COMMUNICATIONS,7773101,198834000,0.01,0.01,1678,"836,633",0.12,0.0253,Q1 2018,59.69,25.58,23.09,13F,2026-11-26,2027-01-07
1702,GMAB,HEALTH CARE,5494689,198799000,0.01,0.01,1679,"86,571",0.01,0.0084,Q3 2019,32.9,36.18,34.09,13F,2026-11-27,2027-01-08
1703,KD,INFORMATION TECHNOLOGY,15118710,198357000,0.01,0.01,1680,"201,561",-0.01,0.0673,Q4 2021,18.1,13.12,9.46,13F,2026-11-28,2027-01-09
1704,RGR,CONSUMER DISCRETIONARY,2848464,198308000,0.01,0,1681,"55,793",0.02,0.1615,Q4 2010,55,69.62,62.48,13F,2026-11-29,2027-01-10
1705,GDOT,FINANCE,7215007,198269000,0.01,0.01,1682,"76,391",-0.01,0.1331,Q3 2010,41.57,27.48,24.32,13F,2026-11-30,2027-01-11
1706,ACWV,FINANCE,1888370,197938000,0.01,0.01,1683,"139,308",-0.06,,Q3 2012,80.57,104.82,94.01,13F,2026-12-01,2027-01-12
1707,OLPX,CONSUMER STAPLES,12631442,197430000,0.01,0.01,1684,"711,767",-0.05,0.0195,Q3 2021,27,15.63,14.78,13F,2026-12-02,2027-01-13
1708,CWK,REAL ESTATE,9620976,197326000,0.01,0.01,1685,"230,508",0.02,0.0427,Q3 2018,16.7,20.51,14.75,13F,2026-12-03,2027-01-14
1709,CDMO,HEALTH CARE,9681513,197213000,0.01,0.01,1686,"11,735",,0.1566,Q1 2017,20.92,20.37,17.02,13F,2026-12-04,2027-01-15
1710,CPG,ENERGY,28447343,196855614,0.01,0,1687,"28,074,381",75.27,0.05,-,,,6.46,13G,2026-12-05,2027-01-16
1711,BKD,HEALTH CARE,34410815,196141646,0.01,0.01,1688,"3,614,255",0.11,0.1843,-,,,4.4,13G,2026-12-06,2027-01-17
1712,KTOS,INDUSTRIALS,9572976,196054000,0.01,0,1689,"294,143",0.03,0.0766,Q4 2010,12.07,20.48,12.7,13F,2026-12-07,2027-01-18
1713,SAFT,FINANCE,2155243,195805000,0.01,0,1690,"16,648",,0.1462,Q4 2009,74.67,90.85,93.39,13F,2026-12-08,2027-01-19
1714,CEIX,ENERGY,5188877,195258000,0.01,0,1691,"20,850",,0.149,Q4 2017,32.08,37.63,55.89,13F,2026-12-09,2027-01-20
1715,AUB,FINANCE,5321159,195233000,0.01,0.01,1692,"150,660",-0.02,0.0709,Q2 2011,35.41,36.69,32.61,13F,2026-12-10,2027-01-21
1716,NBR,ENERGY,1276778,194989000,0.01,0,1693,"50,829",0.04,0.1216,Q4 2007,299.83,152.72,101.12,13F,2026-12-11,2027-01-22
1717,SBSI,FINANCE,4758431,194286000,0.01,0.01,1694,"88,082",0.01,0.1481,Q4 2010,32.96,40.83,36.2,13F,2026-12-12,2027-01-23
1718,APOG,INDUSTRIALS,4087566,193996000,0.01,0.01,1695,"46,013",-0.01,0.1845,Q4 2009,53.86,47.46,37.41,13F,2026-12-13,2027-01-24
1719,NEU,MATERIALS,596718,193563000,0.01,0.01,1696,"6,569",-0.01,0.0582,Q4 2009,446.86,324.38,301.03,13F,2026-12-14,2027-01-25
1720,INN,REAL ESTATE,19385255,193077000,0.01,0,1697,"379,422",-0.01,0.1815,Q4 2011,15.22,9.96,7.31,13F,2026-12-15,2027-01-26
1721,RCUS,HEALTH CARE,7967687,192897702,0.01,0,1698,"3,828,161",0.92,0.1111,-,,,29.54,13G,2026-12-16,2027-01-27
1722,AU,MATERIALS,8139554,192827000,0.01,0,1699,"840,410",-0.09,0.0195,Q2 2009,17.61,23.69,13.76,13F,2026-12-17,2027-01-28
1723,OFG,FINANCE,7235843,192763000,0.01,0,1700,"21,245",,0.1489,Q3 2010,13.73,26.64,24.85,13F,2026-12-18,2027-01-29
1724,RILY,FINANCE,2752356,192554000,0.01,0.01,1701,"97,971",-0.03,0.0986,Q2 2016,48.42,69.96,42.31,13F,2026-12-19,2027-01-30
1725,UAA,CONSUMER DISCRETIONARY,11310237,192499000,0.01,0.01,1702,"133,655",0.01,0.0599,Q2 2009,18.66,17.02,8.12,13F,2026-12-20,2027-01-31
1726,WLK,MATERIALS,1559105,192395000,0.01,0,1703,"160,676",-0.09,0.0121,Q4 2009,78.88,123.4,91,13F,2026-12-21,2027-02-01
1727,SASR,FINANCE,4280688,192288000,0.01,0.01,1704,"71,694",-0.01,0.0946,Q3 2010,37.56,44.92,37.18,13F,2026-12-22,2027-02-02
1728,DNOW,ENERGY,17409501,192025000,0.01,0,1705,"67,946",,0.1573,Q2 2014,13.68,11.03,9.48,13F,2026-12-23,2027-02-03
1729,SXI,INDUSTRIALS,1920431,191890000,0.01,0.01,1706,"9,478",,0.1591,Q4 2010,97.56,99.92,80.1,13F,2026-12-24,2027-02-04
1730,AZZ,INDUSTRIALS,3967475,191391000,0.01,0.01,1707,"5,515",,0.1604,Q4 2009,55.96,48.24,38.67,13F,2026-12-25,2027-02-05
1731,SCHL,COMMUNICATIONS,4749630,191317000,0.01,0,1708,"18,400",,0.145,Q2 2009,40.68,40.28,34.04,13F,2026-12-26,2027-02-06
1732,VIVO,HEALTH CARE,7369060,191302000,0.01,0,1709,"36,865",,0.1691,Q4 2009,14.78,25.96,32.52,13F,2026-12-27,2027-02-07
1733,CLR,ENERGY,3118624,191266000,0.01,0,1710,"189,822",0.06,0.0086,Q4 2008,36.19,61.33,63.13,13F,2026-12-28,2027-02-08
1734,FBRT,REAL ESTATE,14186549,191234681,0.01,,1711,"7,312,229",1.06,0.1695,-,,,13.81,13G,2026-12-29,2027-02-09
1735,BDXB,HEALTH CARE,3593171,189792000,0.01,0.01,1712,"173,124",-0.04,0.0025,Q4 2021,52.75,52.82,48.05,13F,2026-12-30,2027-02-10
1736,GM(CALL),CONSUMER DISCRETIONARY,4326800,189252000,0,0,1713,"2,124,000",0.96,,Q4 2021,,,31.59,13F,2026-12-31,2027-02-11
1737,AHH,REAL ESTATE,12943240,188971000,0,0,1714,"1,622,030",0.14,0.1912,Q2 2013,14.52,14.6,12.52,13F,2027-01-01,2027-02-12
1738,SGH,INFORMATION TECHNOLOGY,7304224,188668000,0,0.01,1715,"745,020",0.11,0.1461,Q2 2017,20.08,25.83,17.11,13F,2027-01-02,2027-02-13
1739,SPY(CALL),FINANCE,417400,188514000,0,0.24,1716,"19,735,800",-0.97,,Q4 2012,,,377.91,13F,2027-01-03,2027-02-14
1740,ELF,CONSUMER STAPLES,7287057,188224000,0,0.01,1717,"67,611",,0.1394,Q4 2016,24.99,25.83,30.82,13F,2027-01-04,2027-02-15
1741,AMRC,INDUSTRIALS,2355254,187241000,0,0,1718,"72,667",0.03,0.0697,Q1 2016,25.93,79.5,43.66,13F,2027-01-05,2027-02-16
1742,HMHC,CONSUMER DISCRETIONARY,8906187,187119000,0,0,1719,"278,999",0.03,,Q1 2014,9.64,21.01,,13F,2027-01-06,2027-02-17
1743,BDGE,FINANCE,5407426,186935000,0,0,1720,"104,362",-0.01,0.2737,Q2 2011,30.71,34.57,29.39,13F,2027-01-07,2027-02-18
1744,MRTN,TRANSPORTS,10522153,186874000,0,0,1721,"2,979",,0.1284,Q4 2010,11.2,17.76,17.13,13F,2027-01-08,2027-02-19
1745,OM,INFORMATION TECHNOLOGY,4114911,186817000,0,0.01,1722,"414,347",-0.09,0.0861,Q3 2020,51.06,45.4,16.17,13F,2027-01-09,2027-02-20
1746,HRMY,HEALTH CARE,3832919,186470000,0,0,1723,"93,153",0.02,0.0649,Q3 2020,38.08,48.65,52.97,13F,2027-01-10,2027-02-21
1747,RCI,COMMUNICATIONS,3281771,186241000,0,0,1724,"455,522",0.16,0.0083,Q1 2017,48.59,56.75,45.3,13F,2027-01-11,2027-02-22
1748,MARA,INDUSTRIALS,6661250,186182000,0,0.01,1725,"56,242",,0.0627,Q1 2017,30.85,27.95,8,13F,2027-01-12,2027-02-23
1749,OTTR,UTILITIES AND TELECOMMUNICATIONS,2970236,185639000,0,0.01,1726,"24,033",,0.0713,Q4 2009,40.96,62.5,66.03,13F,2027-01-13,2027-02-24
1750,FOLD,HEALTH CARE,19593001,185546000,0,0.01,1727,"217,347",-0.01,0.0699,Q2 2015,10.31,9.47,11.02,13F,2027-01-14,2027-02-25
1751,SHEN,UTILITIES AND TELECOMMUNICATIONS,7830931,184654000,0,0.01,1728,"17,386",,0.1564,Q4 2009,36.35,23.58,20.95,13F,2027-01-15,2027-02-26
1752,LZB,CONSUMER DISCRETIONARY,6988775,184293000,0,0.01,1729,"51,744",,0.1622,Q4 2009,28.04,26.37,25.57,13F,2027-01-16,2027-02-27
1753,ICHR,INFORMATION TECHNOLOGY,5173685,184285000,0,0.01,1730,"2,834",,0.1807,Q1 2017,31.55,35.62,27.51,13F,2027-01-17,2027-02-28
1754,WSBC,FINANCE,5360306,184180000,0,0,1731,"180,779",-0.03,0.0889,Q3 2010,38.02,34.36,30.08,13F,2027-01-18,2027-03-01
1755,CUTR,HEALTH CARE,2667705,184073000,0,0,1732,"32,399",0.01,0.1469,Q1 2016,26.65,69,37.04,13F,2027-01-19,2027-03-02
1756,MGPI,CONSUMER STAPLES,2141651,183304000,0,0,1733,"4,628",,0.0974,Q3 2014,68.62,85.59,102.44,13F,2027-01-20,2027-03-03
1757,CTS,INFORMATION TECHNOLOGY,5183860,183201000,0,0,1734,"9,979",,0.1615,Q4 2009,24.89,35.34,34.3,13F,2027-01-21,2027-03-04
1758,GBT,HEALTH CARE,5284511,183056000,0,0,1735,"68,545",-0.01,0.0812,Q3 2015,38.13,34.64,34.73,13F,2027-01-22,2027-03-05
1759,CF(CALL),MATERIALS,1770600,182479000,0,0,1736,"1,264,600",2.49,,Q4 2021,,,80.65,13F,2027-01-23,2027-03-06
1760,IGLB,FINANCE,3413216,181958545,0,,1737,"1,776,683",-0.34,,-,,,53.89,13G,2027-01-24,2027-03-07
1761,UPWK,COMMUNICATIONS,7827039,181901000,0,0.01,1738,"169,002",-0.02,0.0604,Q4 2018,23.77,23.24,20.2,13F,2027-01-25,2027-03-08
1762,BRKL,FINANCE,11462089,181333000,0,0,1739,"197,693",0.01,0.148,Q4 2009,15.73,15.82,12.81,13F,2027-01-26,2027-03-09
1763,CIG,UTILITIES AND TELECOMMUNICATIONS,56293907,181266000,0,0,1740,"2,925,134",0.05,0.0384,Q3 2007,2.5,3.22,1.96,13F,2027-01-27,2027-03-10
1764,XLY,FINANCE,978954,181106000,0,0.01,1741,"179,770",-0.15,,Q2 2014,99.7,185,142.54,13F,2027-01-28,2027-03-11
1765,ESGD,FINANCE,2450209,180654000,0,0.01,1742,"323,202",-0.11,,Q4 2016,66.07,73.73,60.78,13F,2027-01-29,2027-03-12
1766,FOCS,FINANCE,3943229,180364000,0,0.01,1743,"257,246",0.06,0.0603,Q3 2018,42.33,45.74,34.22,13F,2027-01-30,2027-03-13
1767,SSRM,MATERIALS,8272592,179928000,0,0,1744,"1,634,887",-0.16,0.0389,Q2 2020,19.57,21.75,16.29,13F,2027-01-31,2027-03-14
1768,IWV,FINANCE,684744,179656000,0,0,1745,"7,332",0.01,,Q4 2015,178.94,262.37,217.92,13F,2027-02-01,2027-03-15
1769,SNBR,CONSUMER DISCRETIONARY,3535447,179282000,0,0.01,1746,"20,996",,0.159,Q4 2010,27.55,50.71,32.03,13F,2027-02-02,2027-03-16
1770,RC,REAL ESTATE,11901911,179243000,0,0,1747,"1,094,189",0.1,0.1415,Q1 2017,14.07,15.06,12.06,13F,2027-02-03,2027-03-17
1771,RLAY,HEALTH CARE,5974183,178807000,0,0,1748,"19,430",,0.055,Q3 2020,38.03,29.93,19.28,13F,2027-02-04,2027-03-18
1772,NBHC,FINANCE,4432013,178522000,0,0.01,1749,"28,927",,0.1475,Q2 2013,33.52,40.28,37.59,13F,2027-02-05,2027-03-19
1773,QS,FINANCE,8906170,178034000,0,0.01,1750,"25,914",,0.0266,Q1 2021,31.49,19.99,9.71,13F,2027-02-06,2027-03-20
1774,APPN,INFORMATION TECHNOLOGY,2913109,177177000,0,0,1751,"22,965",,0.0713,Q2 2017,53.38,60.82,47.25,13F,2027-02-07,2027-03-21
1775,MCRI,CONSUMER DISCRETIONARY,2024121,176564000,0,0,1752,"10,407",,0.1073,Q1 2016,36.33,87.23,55.45,13F,2027-02-08,2027-03-22
1776,IGF,INDUSTRIALS,3470702,176520000,0,0,1753,"1,066,872",0.44,,Q1 2017,48.18,50.86,45.73,13F,2027-02-09,2027-03-23
1777,CHEF,CONSUMER STAPLES,5410087,176368000,0,0,1754,"1,607",,0.1415,Q3 2011,25.49,32.6,36.5,13F,2027-02-10,2027-03-24
1778,NMRK,REAL ESTATE,11063026,176123000,0,0.01,1755,"50,137",,0.0677,Q1 2018,9.79,15.92,10.13,13F,2027-02-11,2027-03-25
1779,UA,CONSUMER DISCRETIONARY,11294084,175738000,0,0.01,1756,"93,760",,0.0446,Q2 2016,18.5,15.56,7.26,13F,2027-02-12,2027-03-26
1780,IBN,FINANCE,9277406,175714000,0,0,1757,"557,611",0.06,0.0027,Q1 2010,13.88,18.94,18.89,13F,2027-02-13,2027-03-27
1781,GTLB,INFORMATION TECHNOLOGY,3298281,175270652,0,,1758,"476,696",0.16,0.0005,-,,,53.96,13G,2027-02-14,2027-03-28
1782,SAH,CONSUMER DISCRETIONARY,4118407,175075000,0,0.01,1759,"73,452",-0.01,0.1496,Q4 2009,23.59,42.51,35.13,13F,2027-02-15,2027-03-29
1783,CHCO,FINANCE,2224560,175074000,0,0,1760,"9,797",,0.1487,Q4 2009,66.05,78.7,78.4,13F,2027-02-16,2027-03-30
1784,MATW,INDUSTRIALS,5406300,174948000,0,0.01,1761,"14,222",,0.1727,Q2 2009,57.37,32.36,26.56,13F,2027-02-17,2027-03-31
1785,EFC,REAL ESTATE,9854008,174910000,0,0,1762,"374,259",-0.03,0.1641,Q1 2019,17.39,17.75,15.3,13F,2027-02-18,2027-04-01
1786,LPI,ENERGY,2209331,174846000,0,0,1763,"47,465",0.02,0.1277,Q1 2012,112.89,79.14,66.23,13F,2027-02-19,2027-04-02
1787,SHEL,ENERGY,3179890,174671000,0,0,1764,"1,934,322",1.55,0.0009,Q1 2016,53.56,54.93,46.14,13F,2027-02-20,2027-04-03
1788,BIG,CONSUMER DISCRETIONARY,5041996,174453000,0,0.01,1765,"170,871",-0.03,0.1744,Q3 2007,45.64,34.6,21.96,13F,2027-02-21,2027-04-04
1789,LBTYA,COMMUNICATIONS,6829542,174223000,0,0,1766,"558,921",0.08,0.039,Q4 2013,31.44,25.51,20.5,13F,2027-02-22,2027-04-05
1790,CACC,FINANCE,316452,174166000,0,0.01,1767,"10,974",-0.03,0.0241,Q4 2009,244.57,550.37,500.8,13F,2027-02-23,2027-04-06
1791,INVA,HEALTH CARE,8984803,173855000,0,0,1768,"23,955",,0.1291,Q4 2009,13.89,19.35,14.58,13F,2027-02-24,2027-04-07
1792,ASTE,INDUSTRIALS,4042268,173816000,0,0.01,1769,"178,771",0.04,0.177,Q4 2009,58.82,43,41.56,13F,2027-02-25,2027-04-08
1793,CLB,ENERGY,5479023,173300000,0,0,1770,"116,130",0.02,0.1183,Q3 2007,62.98,31.63,15.4,13F,2027-02-26,2027-04-09
1794,OPEN,CONSUMER DISCRETIONARY,20020142,173174000,0,0.01,1771,"733,535",-0.03,0.032,Q3 2020,19.49,8.65,4.96,13F,2027-02-27,2027-04-10
1795,NTRA,HEALTH CARE,4706425,172678733,0,0.01,1772,"1,155,307",-0.19,0.0489,-,,,43.57,13G,2027-02-28,2027-04-11
1796,ZLAB,HEALTH CARE,3924215,172587000,0,0.01,1773,"231,759",0.06,0.0401,Q4 2017,68.17,43.98,37.66,13F,2027-03-01,2027-04-12
1797,PFF,FINANCE,4737262,172531000,0,0,1774,"186,572",0.04,,Q4 2010,37.45,36.42,33.02,13F,2027-03-02,2027-04-13
1798,ARRY,ENERGY,15607706,171840843,0,0,1775,"2,594,855",0.19,0.1039,-,,,11,13G,2027-03-03,2027-04-14
1799,H,CONSUMER DISCRETIONARY,1797680,171589000,0,0,1776,"164,580",-0.08,0.0351,Q4 2009,68.29,95.45,73.72,13F,2027-03-04,2027-04-15
1800,SHOP,COMMUNICATIONS,2531880,171145000,0,0.02,1777,"3,495,120",-0.57,0.0002,Q3 2016,668.13,675.96,30.67,13F,2027-03-05,2027-04-16
1801,AVTR+A,HEALTH CARE,1653085,171144000,0,0.01,1778,"107,777",-0.06,,Q4 2021,129.21,103.53,,13F,2027-03-06,2027-04-17
1802,NTUS,HEALTH CARE,6506467,170991000,0,0,1779,"51,670",,0.1882,Q4 2009,34.6,26.28,32.7,13F,2027-03-07,2027-04-18
1803,BANC,FINANCE,8829206,170933000,0,0,1780,"38,558",,0.1449,Q2 2011,19.6,19.36,17.2,13F,2027-03-08,2027-04-19
1804,CNS,FINANCE,1987000,170665000,0,0,1781,"15,964",,0.0408,Q4 2009,49.69,85.89,66.56,13F,2027-03-09,2027-04-20
1805,RUSHA,CONSUMER DISCRETIONARY,3352152,170659000,0,0,1782,"283,822",0.09,0.0783,Q4 2009,34.04,50.91,48.12,13F,2027-03-10,2027-04-21
1806,RRR,CONSUMER DISCRETIONARY,3507297,170316000,0,0.01,1783,"285,111",-0.07,0.0571,Q2 2016,23.68,48.56,32.84,13F,2027-03-11,2027-04-22
1807,SCSC,INFORMATION TECHNOLOGY,4890792,170149000,0,0,1784,"7,718",,0.1938,Q4 2009,37.79,34.79,30.37,13F,2027-03-12,2027-04-23
1808,VCYT,HEALTH CARE,6165118,169973000,0,0.01,1785,"108,435",-0.01,0.0863,Q1 2016,24.44,27.57,25.58,13F,2027-03-13,2027-04-24
1809,GDEN,CONSUMER DISCRETIONARY,2908507,168896000,0,0,1786,"1,771,873",1.55,0.1004,Q2 2016,43.27,58.07,37.87,13F,2027-03-14,2027-04-25
1810,AWI,INDUSTRIALS,1873836,168663000,0,0.01,1787,"1,562",,0.0399,Q3 2007,54.42,90.01,78.42,13F,2027-03-15,2027-04-26
1811,PGTI,INDUSTRIALS,9332607,167800000,0,0.01,1788,"4,917",,0.1558,Q2 2013,14.4,17.98,18.09,13F,2027-03-16,2027-04-27
1812,BEPC,FINANCE,3830035,167754000,0,0,1789,"168,284",0.04,0.0222,Q3 2020,46.31,43.8,35.52,13F,2027-03-17,2027-04-28
1813,PHR,INFORMATION TECHNOLOGY,6359641,167640000,0,0.01,1790,"349,301",0.05,0.1217,Q3 2019,43.08,26.36,22.35,13F,2027-03-18,2027-04-29
1814,HZO,CONSUMER DISCRETIONARY,4159070,167445000,0,0.01,1791,"16,515",,0.1932,Q2 2011,26.2,40.26,38.16,13F,2027-03-19,2027-04-30
1815,FMX,CONSUMER STAPLES,2019228,167294000,0,0,1792,"366,751",0.22,0.0093,Q1 2017,82.98,82.85,59.59,13F,2027-03-20,2027-05-01
1816,XLC,FINANCE,2431574,167244000,0,0,1793,"674,228",0.38,,Q4 2018,50.76,68.78,54.02,13F,2027-03-21,2027-05-02
1817,CRNC,INFORMATION TECHNOLOGY,6619304,167005040,0,0.01,1794,"294,192",0.04,0.169,-,,,23.99,13G,2027-03-22,2027-05-03
1818,EIG,FINANCE,4068632,166896000,0,0,1795,"67,339",-0.01,0.1467,Q4 2009,38.43,41.02,40.21,13F,2027-03-23,2027-05-04
1819,SLVM,MATERIALS,5014392,166879000,0,0,1796,"235,187",0.04,0.1137,Q3 2021,28.15,33.28,30.48,13F,2027-03-24,2027-05-05
1820,SJW,UTILITIES AND TELECOMMUNICATIONS,2395614,166687000,0,0,1797,"138,880",-0.05,0.0792,Q4 2009,57.4,69.58,62.67,13F,2027-03-25,2027-05-06
1821,TBI,INDUSTRIALS,5767891,166634000,0,0,1798,"4,379",,0.1734,Q1 2009,26.41,28.89,17.74,13F,2027-03-26,2027-05-07
1822,NEE+Q,UTILITIES AND TELECOMMUNICATIONS,3167339,166412000,0,0.01,1799,"213,091",-0.06,,Q3 2020,49.28,52.54,50.37,13F,2027-03-27,2027-05-08
